,,P41,P42,P43,P44,P45,P46,Baro,T1,T2,T3
,,1,2,3,4,5,6,,,,
,,[PSI],[PSI],[PSI],[PSI],[PSI],[PSI],[in.hga],[°C],[°C],[°C]
6/8/2018,11:03:20 AM,21.825,10.272,21.684,21.062,16.451,14.52,28.907,28.775,28.83,28.438
6/8/2018,11:20:00 AM,21.816,10.186,21.681,21.053,16.386,14.488,28.913,28.76,28.835,28.353
6/8/2018,11:36:40 AM,21.758,10.133,21.653,21.017,16.373,14.394,28.919,28.804,28.882,28.413
6/8/2018,11:53:20 AM,21.768,10.044,21.622,21.022,16.31,14.367,28.921,28.813,28.875,28.607
6/8/2018,12:10:00 PM,21.73,9.974,21.582,20.978,16.254,14.283,28.928,28.838,28.94,28.615
6/8/2018,12:26:40 PM,21.707,9.897,21.567,20.937,16.219,14.241,28.935,28.688,28.805,28.369
6/8/2018,12:43:20 PM,21.716,9.846,21.558,20.912,16.191,14.194,28.935,29.007,29.096,28.532
6/8/2018,1:00:00 PM,21.67,9.788,21.539,20.891,16.153,14.143,28.938,28.913,28.986,28.654
6/8/2018,1:16:40 PM,21.688,9.717,21.515,20.865,16.099,14.084,28.94,28.853,28.952,28.538
6/8/2018,1:33:20 PM,21.662,9.655,21.52,20.876,16.068,14.03,28.949,28.958,29.071,28.658
6/8/2018,1:50:00 PM,21.642,9.591,21.491,20.877,16.025,14.012,28.948,29.047,29.156,28.797
6/8/2018,2:06:40 PM,21.668,9.542,21.489,20.84,16.005,13.963,28.945,29.15,29.215,28.874
6/8/2018,2:23:20 PM,21.65,9.464,21.484,20.86,15.99,13.909,28.942,29.409,29.478,29.148
6/8/2018,2:40:00 PM,21.629,9.411,21.473,20.855,15.935,13.886,28.943,29.423,29.506,29.215
6/8/2018,2:56:40 PM,21.638,9.348,21.482,20.829,15.9,13.846,28.952,29.639,29.703,29.444
6/8/2018,3:13:20 PM,21.588,9.274,21.469,20.814,15.847,13.808,28.953,29.536,29.601,29.402
6/8/2018,3:30:00 PM,21.561,9.223,21.407,20.763,15.816,13.755,28.942,29.244,29.303,29.069
6/8/2018,3:46:40 PM,21.535,9.146,21.404,20.731,15.758,13.673,28.944,29.062,29.198,29.01
6/8/2018,4:03:20 PM,21.529,9.088,21.377,20.707,15.716,13.624,28.946,29.107,29.22,28.922
6/8/2018,4:20:00 PM,21.497,9.034,21.347,20.696,15.685,13.591,28.945,29.087,29.218,28.948
6/8/2018,4:36:40 PM,21.49,8.978,21.297,20.697,15.653,13.549,28.941,29.148,29.247,28.871
6/8/2018,4:53:20 PM,21.493,8.911,21.334,20.655,15.633,13.495,28.942,29.106,29.179,28.814
6/8/2018,5:10:00 PM,21.481,8.876,21.305,20.638,15.594,13.446,28.94,29.245,29.363,28.963
6/8/2018,5:26:40 PM,21.486,8.8,21.305,20.609,15.541,13.407,28.933,29.278,29.391,29.111
